,Unnamed: 0,id,scrape_id,name,description,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
9000,9000,1228961395294203547,20241221052002,Cozy im beliebten Schillerkiez!,"Welcome to the Schillerkiez in Berlin! Our accommodation is characterized by its ideal location, just a stone's throw from the extensive Tempelhofer Feld. Here you can enjoy relaxing walks, picnics or sporting activities in a unique setting. The Schillerkiez itself is a lively neighborhood that boasts a variety of bars and restaurants. You will find international cuisine, cozy cafes and a creative neighborhood!",366897866,Noel,f,1.0,1.0,t,t,52.47874723630387,13.424428034427953,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,3,365,2,2,365,365,2.0,365.0,,t,5,23,53,53,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"First name and Last name: Noel Lardon  <br/> Contact address: Weisestrasse 9, 12049, Berlin , Deutschland <br/>Listing address: Weisestr 10, 12049, Berlin, Deutschland",f,1,1,0,0,0.37
9200,9200,179102,20241221052002,The Special Place,"Our appartment is spacious and well equipped. We have aything you might need to have a fun vaccation. A full equipped kitchen, a hughe bathroom  WLAN and many individually designed and built furniture are there for your convenience.",857327,Alke,t,1.0,2.0,t,t,52.57051,13.39872,Entire rental unit,Entire home/apt,12,1.5,3.0,9.0,2,1125,2,2,1125,1125,2.0,1125.0,,t,14,44,74,234,189,17,1,4.82,4.84,4.76,4.9,4.87,4.69,4.75,"First name and Last name: Alke Matzat <br/> Contact address: Wilhelm Kuhr Str 5, 13187, Berlin, Berlin <br/>Listing address: Wilhelm Kuhr Str 5, 13186, Berlin, Berlin",f,1,1,0,0,1.2
9400,9400,694726120325596628,20241221052002,Modern bright 3 room loft apartment in Berlin,"You will live in a quiet, very bright and modern 3 room loft apartment in Berlin Zehlendorf. The apartment is equipped with many amenities and offers you a great place as a travel stay or to work.",40151168,Andre,f,1.0,2.0,t,t,52.4197111,13.2870811,Entire loft,Entire home/apt,2,1.0,1.0,1.0,3,1125,3,3,1125,1125,3.0,1125.0,,t,14,44,74,349,5,3,0,5.0,5.0,5.0,5.0,5.0,4.8,4.6,06/Z/RA/004374-23,f,1,1,0,0,0.26
9600,9600,28249744,20241221052002,Apartment 8 direkt am Görlitzer Park  *Kreuzberg*,Apartment for a maximum of 8 people in the heart of Kreuzberg. Directly at the Görlitzer Park!,190957759,Stella,f,20.0,21.0,t,t,52.49668,13.44389,Entire rental unit,Entire home/apt,8,1.0,1.0,6.0,3,1125,2,4,1125,1125,3.0,1125.0,,t,16,39,58,325,259,41,3,4.74,4.81,4.53,4.89,4.95,4.52,4.64,"Legal entity name and Legal form: Jolie GmbH <br/>Legal representatives or Trade register number: HRB 224699 B <br/> Entity address: Irmgardstr. 31, 14169, Berlin, Deutschland <br/>Listing address: Görlitzer Str. 38, 10997, Berlin, Germany, Deutschland",f,20,20,0,0,3.39
9800,9800,14116778,20241221052002,Lovely room for holidays,"My place is close to Krumme Lanke Lake, Schlossstrasse for shopping, Berlin Center. You'll love my place because of the high ceilings, the ground floor. My place is good for couples and solo travelers.",85075824,Lisa,f,1.0,1.0,t,f,52.45206,13.31907,Private room in rental unit,Private room,2,,,,92,1125,92,92,1125,1125,92.0,1125.0,,,0,0,0,0,0,0,0,,,,,,,,,f,1,0,1,0,
10000,10000,604213813500842811,20241221052002,Gemütliche Souterrain Wohnung in Reihenendhaus,"During the day in the Berlin hustle and bustle and evening in the countryside.<br /><br />Nice basement apartment to feel good with your own entrance, parking and sole use of the garden.",453598085,Corinna,t,1.0,1.0,t,t,52.4535,13.50457,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,3,365,3,3,1125,1125,3.0,1125.0,,t,0,0,0,49,33,12,0,4.88,4.85,4.7,5.0,5.0,4.76,4.76,09/Z/AZ/003303-22,t,1,1,0,0,1.08
10200,10200,14312400,20241221052002,"near FU-University,  cat & Yoga inclusive","Your quiet and peaceful room in my flat is near the FU-University, has good access to the public transport system & shops & restaurants & good parking facilities. Fergus, the cat, is boss; my yoga-studio is downstairs where you can take classes. Our fast & stable WLAN is perfectly suitable for ZOOM meetings or such like -  for your  recreation there is a 50m swimming pool nearby and we are close to nearby woods & lakes, for jogging , swimming, ice skating, or simply relaxing walks & fresh air.",87250324,Susanne,f,1.0,1.0,t,t,52.43306,13.28069,Private room in rental unit,Private room,1,1.5,1.0,1.0,25,730,85,85,730,730,85.0,730.0,,t,0,0,0,155,35,2,0,4.97,4.91,4.77,4.97,4.97,4.77,4.89,"First name and Last name: Susanne Simon  <br/> Contact address: weisswasserweg 49d, 12205, Berlin , Berlin  <br/>Listing address: weisswasserweg 49d, 12205, Berlin , Berlin ",f,1,0,1,0,0.34
10400,10400,1057061923871328414,20241221052002,Gemütliche  Altbauwohnung,"Spacious  old building apartment  with 3 separately accessible bedrooms, living room, kitchen +bathroom.<br />2 youth rooms with plateaus  /beds , one ""parents"" bedroom with access to the balcony. Light-flooded  bathroom with bathtub. Room height 3.60 m. Centrally located not far from the Hermannplatz subway station, yet quiet. Walking distance to the Maybachufer, markets /restaurants,  and the parks an der Hasenheide and  the Tempelhof airfield. Our  private apartment, which we occasionally leave to guests.:-)Lots of joy !",503803687,Karim,t,1.0,1.0,t,t,52.483000348198345,13.428496202449146,Entire rental unit,Entire home/apt,5,1.0,3.0,1.0,5,100,4,5,100,100,5.0,100.0,,t,21,51,81,163,10,10,0,4.9,5.0,4.8,4.9,5.0,4.9,4.5,08/Z/RA/013537-23,f,1,1,0,0,0.96
10600,10600,13029305,20241221052002,Zimmer in zentralster Lage + Schöneberger Kiez,"The room is very cozy, the apartment is quiet despite the central location.<br />Pohlstraße is located in the heart of Berlin, directly on the modern Gleisdreickpark, within walking distance of Potsdamer Platz & with very good connection to all areas of Berlin (max. 30 minutes drive to various places in Berlin).<br />Accommodates up to 4 people.<br /><br />This apartment is a fully selfmade and cosy place for up to 4 people. My brother and me would like to welcome you at our place in the city of Berlin! :-)",71986009,Bent,f,1.0,1.0,t,t,52.50051,13.36599,Private room in rental unit,Private room,4,,,,92,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,27,0,0,4.7,4.7,4.63,4.74,4.81,4.67,4.59,,f,1,0,1,0,0.26
10800,10800,787492130913358786,20241221052002,Chic + Cozy - Studio-Apartment,"Chic and Cozy Studio Apartment:<br />- Stylish<br />- Large sun terrace<br />- Brand new fitted kitchen<br />- large comfortable sofa bed (1,40 m wide, with slatted base and latex mattress)<br />- bathroom with bathtub<br />- large dining table, perfect also for working<br />- but there is no wifi",7435626,Vivian,f,1.0,2.0,t,t,52.49126087004596,13.450371107934568,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,3,90,2,4,90,90,2.2,90.0,,t,25,44,72,72,37,18,0,4.73,4.78,4.68,4.84,4.84,4.78,4.59,09/Z/RA/003912-23,f,1,1,0,0,1.78
